geoname;latitud;longitud
3854367;-4.531.667;-7.038.333
3854368;-3.192.792;-6.882.855
3854369;-2.882.209;-6.951.376
3854370;-2.750.712;-6.017.772
3854371;-4.848.962;-7.227.744
3854372;-4.941.667;-68.3
3854373;-4.601.667;-71.4
3854374;-5.488.014;-6.732.147
3854375;-5.481.667;-6.726.667
3854376;-3.283.377;-6.293.876
3854377;-3.371.458;-6.928.038
3854378;-3.398.333;-61.15
3854379;-4.163.333;-6.546.667
3854380;-4.526.014;-6.697.767
3854381;-4.526.587;-6.696.626
3854382;-3.326.682;-6.170.705
3854383;-2.519.587;-6.477.869
3854384;-5.163.045;-690.674
3854385;-5.195.059;-6.974.576
3854386;-5.463.333;-67.65
3854387;-4.278.333;-72.1
3854388;-5.473.333;-67.9
3854389;-342.326;-6.124.235
3854390;-3.423.333;-6.123.333
3854391;-3.243.333;-6.766.667
3854392;-2.571.667;-6.341.667
3854393;-54.95;-65.7
3854394;-5.496.667;-65.7
3854395;-3.600.048;-6.085.435
3854396;-2.317.337;-6.622.987
3854397;-3.854.979;-7.067.677
3854398;-3.841.667;-70.5
3854399;-3.857.088;-7.065.966
3854400;-3.848.459;-7.052.039
3854401;-2.401.308;-653.789
3854402;-24.8;-61.25
3854403;-2.453.333;-61.95
3854404;-3.656.667;-62.1
3854405;-2.433.333;-62.45
3854406;-3.817.941;-6.973.869
3854407;-2.706.667;-6.263.333
3854408;-4.733.075;-6.571.859
3854409;-26.8;-6.508.333
3854410;-4.440.389;-652.161
3854411;-40.8;-6.356.667
3854412;-4.120.605;-7.141.063
3854413;-2.972.273;-6.351.543
3854414;-3.261.514;-7.004.078
3854415;-38.15;-61.7
3854416;-44.9;-69.9
3854417;-4.491.392;-6.992.002
3854418;-330.286;-6.847.767
3854419;-3.459.314;-6.191.812
3854420;-3.964.041;-6.216.275
3854421;-48.8;-6.913.333
3854422;-3.353.312;-6.955.885
3854423;-3.131.174;-6.417.144
3854424;-3.705.669;-6.940.071
3854425;-4.139.368;-7.149.226
3854426;-4.925.507;-6.766.935
3854427;-3.422.612;-606.511
3854428;-32.846;-6.926.462
3854429;-32.85;-69.25
3854430;-4.508.328;-7.113.059
3854431;-4.490.268;-6.558.217
3854432;-30.05;-68.2
3854433;-3.806.009;-7.015.815
3854434;-37.9;-70.6
3854435;-3.126.667;-6.251.667
3854436;-331.857;-6.927.511
3854437;-25.65;-6.498.333
3854438;-3.367.344;-6.040.062
3854439;-2.421.283;-6.544.606
3854440;-2.421.667;-65.4
3854441;-4.106.667;-6.846.667
3854442;-4.251.667;-6.631.667
3854443;-5.162.659;-6.963.671
3854444;-5.133.333;-7.033.333
3854445;-516.186;-6.972.311
3854446;-5.163.101;-6.962.231
3854447;-3.748.535;-6.146.047
3854448;-4.568.425;-7.031.979
3854449;-4.591.053;-7.056.239
3854450;-4.616.667;-7.133.333
3854451;-5.009.928;-7.014.491
3854452;-2.426.667;-6.263.333
3854453;-2.400.793;-6.052.518
3854454;-2.730.838;-6.529.338
3854455;-5.413.333;-68
3854456;-3.686.667;-69.25
3854457;-3.606.667;-68.8
3854458;-2.273.333;-66.55
3854459;-3.288.333;-68.7
3854460;-2.592.274;-6.004.368
3854461;-2.582.221;-6.012.586
3854462;-2.908.333;-60.25
3854463;-3.924.016;-6.249.353
3854464;-2.911.667;-60.25
3854465;-2.912.757;-6.014.731
3854466;-31.2;-6.801.667
3854467;-2.329.903;-6.590.056
3854468;-2.224.436;-6.605.958
3854469;-22.3;-6.603.333
3854470;-23.2;-6.586.667
3854471;-2.227.278;-6.604.334
3854472;-2.406.667;-6.696.667
3854473;-2.403.591;-669.035
3854474;-2.808.333;-6.586.667
3854475;-2.823.333;-6.558.333
3854476;-28.4;-65.1
3854477;-2.834.444;-6.539.906
3854478;-3.171.945;-6.813.383
3854479;-3.194.036;-6.720.378
3854480;-3.187.841;-6.723.616
3854481;-3.180.961;-671.897
3854482;-2.754.958;-6.558.626
3854483;-2.512.493;-6.068.828
3854484;-2.590.991;-6.490.741
3854485;-2.397.243;-6.413.216
3854486;-2.296.667;-6.346.667
3854487;-2.516.667;-6.428.333
3854488;-25.1;-65.1
3854489;-2.395.415;-6.497.071
3854490;-3.776.667;-6.353.333
3854491;-3.774.461;-6.352.763
3854492;-37.5;-63.75
3854493;-3.766.776;-6.353.021
3854494;-3.346.149;-6.243.844
3854495;-29.55;-63.95
3854496;-28.7;-6.503.333
3854497;-3.343.333;-67.15
3854498;-2.778.962;-6.481.585
3854499;-28;-6.483.333
3854500;-2.421.667;-6.613.333
3854501;-308.876;-6.538.896
3854502;-3.100.314;-6.537.278
3854503;-3.110.118;-6.532.986
3854504;-2.855.428;-679.861
3854505;-2.506.667;-66.15
3854506;-2.584.585;-6.563.895
3854507;-2.548.579;-6.636.038
3854508;-2.442.235;-6.574.435
3854509;-3.335.638;-6.952.118
3854510;-3.408.873;-6.352.422
3854511;-3.034.721;-675.874
3854512;-4.835.006;-6.634.083
3854513;-2.396.667;-6.366.667
3854514;-40.428;-6.367.432
3854515;-2.916.667;-6.211.667
3854516;-2.898.823;-6.212.678
3854517;-47.75;-6.586.667
3854518;-2.769.174;-6.353.705
3854519;-3.189.641;-701.995
3854520;-2.998.333;-6.951.667
3854521;-3.013.333;-60.35
3854522;-2.518.333;-6.506.667
3854523;-2.559.571;-6.624.245
3854524;-3.687.572;-7.063.652
3854525;-3.709.678;-708.992
3854526;-37.2;-7.063.333
3854527;-3.713.333;-7.078.333
3854528;-36.7;-6.996.667
3854529;-2.611.667;-65.6
3854530;-2.380.845;-6.568.499
3854531;-4.800.449;-6.590.165
3854532;-5.142.793;-6.982.833
3854533;-3.025.769;-6.929.963
3854534;-2.979.986;-6.836.009
3854535;-2.952.469;-6.855.786
3854536;-29;-67.5
3854537;-2.760.134;-6.769.815
3854538;-2.923.333;-6.761.667
3854539;-2.918.293;-6.765.285
3854540;-2.285.355;-6.558.104
3854541;-2.436.584;-6.739.583
3854542;-2.428.413;-6.745.044
3854543;-3.074.432;-6.984.742
3854544;-30.55;-6.988.333
3854545;-2.941.667;-6.998.333
3854546;-2.700.732;-6.634.592
3854547;-2.875.353;-6.407.692
3854548;-2.530.783;-651.376
3854549;-3.728.163;-7.069.058
3854550;-478.021;-6.586.888
3854551;-4.503.947;-6.573.539
3854552;-4.527.378;-6.877.448
3854553;-4.422.545;-6.542.853
3854554;-4.373.333;-6.841.667
3854555;-3.728.333;-70.75
3854556;-2.438.333;-6.478.333
3854557;-2.503.333;-6.413.333
3854558;-3.257.886;-6.540.874
3854559;-3.254.113;-6.553.659
3854560;-4.069.947;-7.020.044
3854561;-3.047.904;-650.613
3854562;-4.979.977;-7.214.659
3854563;-2.521.667;-6.448.333
3854564;-2.921.667;-6.906.667
3854565;-4.459.876;-6.546.584
3854566;-3.601.667;-7.036.667
3854567;-33.95;-6.606.667
3854568;-3.595.394;-679.816
3854569;-3.976.104;-6.882.212
3854570;-3.993.421;-681.621
3854571;-3.631.852;-6.428.395
3854572;-54.45;-6.766.667
3854573;-4.071.086;-7.118.532
3854574;-3.833.333;-71
3854575;-3.221.981;-6.485.891
3854576;-4.076.281;-709.753
3854577;-4.073.333;-68.3
3854578;-3.866.797;-7.039.865
3854579;-386.219;-7.068.148
3854580;-3.853.976;-6.996.849
3854581;-3.787.448;-6.205.765
3854582;-3.730.817;-7.103.237
3854583;-3.728.333;-6.936.667
3854584;-3.572.723;-6.860.467
3854585;-4.383.333;-6.736.667
3854586;-4.758.788;-6.840.954
3854587;-3.879.402;-6.979.749
3854588;-3.756.667;-69.1
3854589;-3.601.667;-70.2
3854590;-4.064.678;-6.226.865
3854591;-4.066.635;-7.098.195
3854592;-3.278.922;-6.911.329
3854593;-44;-6.751.667
3854594;-3.571.352;-616.479
3854595;-244.012;-6.019.401
3854596;-32.3;-6.736.667
3854597;-32.15;-6.846.667
3854598;-3.206.509;-6.858.706
3854599;-30.75;-7.026.667
3854600;-3.282.126;-6.904.236
3854601;-2.801.248;-6.479.035
3854602;-36.75;-62.5
3854603;-3.701.667;-6.243.333
3854604;-3.701.381;-6.241.858
3854605;-2.821.667;-65.3
3854606;-2.283.333;-6.333.333
3854607;-29.85;-6.771.667
3854608;-4.261.335;-7.038.475
3854609;-42.6;-70.75
3854610;-4.271.905;-7.055.007
3854611;-30.8;-6.891.667
3854612;-3.088.333;-6.883.333
3854613;-3.413.802;-6.193.159
3854614;-403.817;-6.523.481
3854615;-4.021.666;-6.543.282
3854616;-4.254.752;-6.392.432
3854617;-4.223.333;-65.25
3854618;-23.05;-6.363.333
3854619;-3.449.401;-637.843
3854620;-2.583.373;-6.458.773
3854621;-3.303.333;-6.723.333
3854622;-2.964.701;-6.862.269
3854623;-3.346.668;-69.051
3854624;-3.068.658;-6.667.844
3854625;-2.383.333;-67.15
3854626;-2.514.829;-6.571.743
3854627;-3.751.667;-70.85
3854628;-35;-65.95
3854629;-3.101.667;-6.516.667
3854630;-22.3;-6.471.667
3854631;-2.871.694;-6.722.284
3854632;-2.838.333;-6.781.667
3854633;-2.821.667;-6.796.667
3854634;-41.45;-7.001.667
3854635;-41.3;-6.961.667
3854636;-2.497.133;-6.513.219
3854637;-23;-6.648.333
3854638;-3.160.405;-6.067.634
3854639;-3.158.333;-6.066.667
3854640;-2.266.667;-66.3
3854641;-2.336.667;-63.4
3854642;-3.621.082;-6.881.608
3854643;-3.909.598;-7.017.189
3854644;-343.166;-6.906.182
3854645;-3.583.601;-6.822.212
3854646;-4.527.607;-6.954.246
3854647;-4.681.203;-6.905.202
3854648;-3.589.827;-6.928.226
3854649;-4.669.026;-6.913.401
3854650;-3.494.475;-6.836.157
3854651;-4.668.131;-699.103
3854652;-4.671.984;-6.983.671
3854653;-3.447.421;-678.799
3854654;-4.672.344;-6.990.158
3854655;-356.602;-6.780.245
3854656;-3.478.333;-66.65
3854657;-4.893.333;-70.3
3854658;-462.091;-6.917.565
3854659;-368.996;-6.883.578
3854660;-3.641.667;-6.826.667
3854661;-4.311.667;-67.7
3854662;-3.592.742;-6.893.479
3854663;-3.563.255;-6.781.622
3854664;-3.511.789;-6.817.302
3854665;-3.400.276;-6.887.423
3854666;-2.696.667;-63
3854667;-4.645.154;-7.064.584
3854668;-4.526.796;-6.946.925
3854669;-4.863.333;-6.768.333
3854670;-4.675.312;-6.894.639
3854671;-4.540.772;-6.848.919
3854672;-4.021.365;-6.993.809
3854673;-4.002.531;-703.909
3854674;-4.392.046;-6.965.151
3854675;-25.25;-65.4
3854676;-2.566.667;-65.5
3854677;-2.552.031;-6.550.937
3854678;-3.701.712;-6.052.224
3854679;-3.068.333;-68.45
3854680;-2.997.282;-6.898.314
3854681;-2.992.327;-6.882.608
3854682;-29.95;-68.8
3854683;-2.313.915;-6.698.891
3854684;-4.320.892;-6.966.959
3854685;-4.213.966;-7.118.837
3854686;-28.8;-6.788.333
3854687;-312.679;-6.107.214
3854688;-3.121.699;-6.110.291
3854689;-4.876.667;-69.35
3854690;-3.836.667;-69.45
3854691;-3.875.164;-621.793
3854692;-3.193.333;-6.786.667
3854693;-3.948.161;-7.129.043
3854694;-2.491.667;-68.25
3854695;-23.1;-63.55
3854696;-30.45;-68.3
3854697;-3.892.198;-7.050.376
3854698;-45.5;-68.15
3854699;-4.544.755;-6.797.171
3854700;-48.6;-7.158.333
3854701;-3.471.379;-6.060.072
3854702;-3.471.667;-60.6
3854703;-3.103.333;-6.451.667
3854704;-2.822.727;-6.152.913
3854705;-4.988.333;-69.75
3854706;-4.335.618;-7.168.756
3854707;-4.341.868;-7.161.452
3854708;-3.838.333;-6.938.333
3854709;-4.515.299;-6.648.887
3854710;-4.335.782;-7.132.737
3854711;-3.756.667;-67.5
3854712;-37.55;-67.5
3854713;-4.512.926;-6.605.809
3854714;-4.434.835;-674.428
3854715;-2.906.667;-66
3854716;-32.8;-63.9
3854717;-4.386.667;-70.85
3854718;-413.766;-7.166.837
3854719;-43.1;-7.048.333
3854720;-2.506.667;-6.121.667
3854721;-4.708.099;-6.828.859
3854722;-329.169;-6.069.463
3854723;-27.75;-6.533.333
3854724;-2.764.934;-654.383
3854725;-3.778.333;-6.573.333
3854726;-4.774.513;-6.624.654
3854727;-4.263.722;-6.397.207
3854728;-390.131;-6.376.922
3854729;-3.723.366;-6.358.808
3854730;-3.018.355;-653.276
3854731;-2.680.031;-6.679.817
3854732;-2.371.677;-6.603.088
3854733;-3.189.814;-6.786.006
3854734;-2.871.667;-6.058.333
3854735;-2.876.667;-6.046.667
3854736;-2.288.333;-64.35
3854737;-24.2;-64.7
3854738;-333.104;-6.912.496
3854739;-3.886.667;-7.033.333
3854740;-2.610.584;-6.544.938
3854741;-4.923.308;-6.992.748
3854742;-2.576.803;-653.455
3854743;-3.989.901;-6.851.338
3854744;-3.969.542;-6.254.432
3854745;-4.841.667;-6.891.667
3854746;-4.166.667;-71.25
3854747;-3.147.717;-6.483.728
3854748;-416.313;-653.808
3854749;-4.913.887;-6.779.609
3854750;-4.066.736;-6.240.508
3854751;-4.063.333;-63.8
3854752;-4.529.848;-7.018.976
3854753;-3.745.189;-6.702.681
3854754;-2.906.447;-6.735.084
3854755;-2.891.667;-6.558.333
3854756;-2.856.667;-6.531.667
3854757;-54.8;-6.826.667
3854758;-53.8;-6.768.333
3854759;-3.687.031;-6.975.962
3854760;-3.254.382;-6.576.483
3854761;-3.222.507;-6.453.504
3854762;-3.174.012;-6.520.675
3854763;-3.132.912;-6.488.964
3854764;-3.110.723;-6.631.909
3854765;-3.062.288;-6.422.879
3854766;-2.936.667;-6.698.333
3854767;-2.855.612;-6.716.226
3854768;-2.744.768;-6.760.913
3854769;-2.583.509;-6.629.235
3854770;-2.436.667;-6.451.667
3854771;-2.337.639;-6.581.002
3854772;-23.15;-6.586.667
3854773;-2.296.667;-65.35
3854774;-2.278.333;-6.643.333
3854775;-3.205.836;-6.900.347
3854776;-321.324;-7.028.112
3854777;-3.107.394;-6.792.985
3854778;-26.9;-6.686.667
3854779;-460.518;-6.810.129
3854780;-2.708.016;-6.430.465
3854781;-2.601.667;-65.15
3854782;-2.426.405;-6.428.261
3854783;-2.418.209;-660.551
3854784;-2.223.333;-62.8
3854785;-3.367.859;-6.939.086
3854786;-4.540.746;-6.884.188
3854787;-5.204.413;-6.975.303
3854788;-4.359.149;-711.477
3854789;-3.951.066;-7.069.969
3854790;-3.941.042;-7.124.656
3854791;-2.903.982;-669.623
3854792;-33.4;-65.3
3854793;-4.049.542;-7.086.406
3854794;-4.117.201;-7.109.476
3854795;-2.653.333;-6.586.667
3854796;-23.3;-65.7
3854797;-3.601.523;-6.993.073
3854798;-4.691.276;-6.719.902
3854799;-504.789;-696.784
3854800;-4.517.357;-6.717.199
3854801;-4.507.337;-6.987.669
3854802;-4.125.987;-6.557.412
3854803;-5.363.553;-6.814.391
3854804;-5.213.238;-6.884.515
3854805;-502.276;-7.175.104
3854806;-49.65;-68
3854807;-49.6;-6.866.667
3854808;-4.726.421;-6.986.649
3854809;-4.407.235;-6.639.088
3854810;-4.370.891;-6.688.783
3854811;-3.398.333;-6.148.333
3854812;-33;-6.718.333
3854813;-3.257.587;-6.039.584
3854814;-2.624.446;-6.706.287
3854815;-4.771.321;-6.804.384
3854816;-4.267.504;-7.186.452
3854817;-3.236.667;-6.733.333
3854818;-29.1;-67.7
3854819;-3.141.917;-604.422
3854820;-31.4;-60.4
3854821;-3.321.517;-6.617.023
3854822;-31.7;-6.846.667
3854823;-2.838.333;-6.868.333
3854824;-503.278;-7.116.894
3854825;-47;-7.108.333
3854826;-4.518.026;-6.995.255
3854827;-43.75;-68.3
3854828;-388.859;-6.888.353
3854829;-37.8;-6.876.667
3854830;-3.245.312;-6.970.103
3854831;-3.226.341;-6.442.074
3854832;-247.567;-656.692
3854833;-2.463.333;-6.691.667
3854834;-2.232.765;-6.640.603
3854835;-2.753.333;-6.741.667
3854836;-2.712.698;-6.733.251
3854837;-2.333.333;-65.75
3854838;-5.013.524;-6.987.054
3854839;-49.85;-6.796.667
3854840;-4.958.333;-67.9
3854841;-4.878.333;-6.783.333
3854842;-4.023.333;-6.316.667
3854844;-425.731;-705.339
3854845;-4.661.253;-7.062.305
3854846;-3.945.705;-6.963.871
3854847;-5.090.174;-6.921.831
3854848;-40.55;-6.308.333
3854849;-29.6;-63.75
3854850;-2.398.333;-63.7
3854851;-3.532.171;-7.020.004
3854852;-3.681.667;-7.038.333
3854853;-3.876.571;-6.849.888
3854854;-2.844.698;-6.642.729
3854855;-5.096.091;-691.983
3854856;-4.694.381;-6.730.276
3854857;-4.505.715;-70.343
3854858;-3.130.958;-6.679.495
3854859;-2.996.667;-66.8
3854860;-50.75;-68.75
3854861;-3.172.646;-6.012.029
3854862;-2.548.259;-6.623.059
3854863;-4.017.078;-7.144.746
3854864;-33.55;-69
3854865;-3.173.333;-6.011.667
3854866;-2.858.861;-6.529.175
3854867;-2.480.014;-6.548.375
3854868;-2.401.667;-6.498.333
3854869;-3.318.333;-66.1
3854870;-2.913.333;-65.55
3854871;-37.45;-6.893.333
3854872;-3.727.865;-6.959.039
3854873;-2.323.333;-63.5
3854874;-2.466.134;-6.568.479
3854875;-2.431.902;-6.592.586
3854876;-2.348.271;-6.486.705
3854877;-2.334.807;-6.604.174
3854878;-3.793.605;-6.209.597
3854879;-2.343.333;-64.75
3854880;-43.45;-6.821.667
3854881;-32.95;-6.716.667
3854882;-4.303.333;-6.838.333
3854883;-4.634.932;-6.816.211
3854884;-4.638.229;-6.818.373
3854885;-4.951.183;-6.854.498
3854886;-4.021.121;-6.571.426
3854887;-3.748.333;-6.783.333
3854888;-4.771.667;-67.7
3854889;-4.891.667;-6.941.667
3854890;-327.828;-6.073.747
3854891;-2.686.667;-6.271.667
3854893;-31.95;-61.4
3854895;-3.285.683;-6.071.754
3854896;-3.286.667;-6.068.333
3854897;-2.255.239;-6.654.026
3854898;-2.213.333;-66.35
3854899;-2.247.161;-665.811
3854900;-2.258.291;-6.653.068
3854901;-4.064.741;-7.047.953
3854902;-2.255.961;-6.657.878
3854903;-4.632.904;-7.093.406
3854904;-3.004.226;-6.378.016
3854905;-252.986;-6.460.666
3854906;-2.729.794;-6.461.338
3854907;-2.838.333;-6.316.667
3854908;-2.751.667;-6.531.667
3854909;-3.664.132;-6.317.369
3854910;-2.824.273;-6.572.722
3854911;-2.813.333;-6.566.667
3854912;-2.818.333;-65.75
3854913;-3.772.065;-6.260.587
3854914;-4.209.662;-6.418.394
3854915;-3.819.607;-6.580.851
3854916;-3.467.927;-6.813.153
3854917;-39.1;-6.283.333
3854918;-3.909.627;-6.270.333
3854919;-3.583.523;-6.987.017
3854920;-4.302.571;-6.929.299
3854921;-24.2;-6.276.667
3854922;-4.784.661;-7.209.177
3854923;-5.073.333;-73.2
3854924;-4.727.627;-6.971.991
3854925;-3.326.653;-6.006.961
3854926;-332.504;-6.008.671
3854927;-3.379.053;-6.674.575
3854928;-2.571.338;-6.664.837
3854929;-2.472.603;-6.648.334
3854930;-246.156;-6.587.839
3854931;-2.691.821;-6.657.664
3854932;-2.431.667;-6.418.333
3854933;-4.158.333;-70.8
3854934;-4.604.521;-6.784.659
3854935;-3.555.314;-6.338.002
3854936;-4.307.839;-6.528.775
3854937;-38;-60.25
3854938;-3.803.333;-6.011.667
3854939;-2.490.395;-6.469.859
3854940;-48.25;-6.983.333
3854941;-4.761.667;-6.986.667
3854942;-4.751.667;-6.996.667
3854943;-4.704.051;-6.691.825
3854944;-248.334;-6.468.784
3854945;-24.9;-64.65
3854946;-3.914.494;-6.821.351
3854947;-2.489.594;-646.126
3854948;-34.75;-63.35
3854949;-2.733.333;-62.95
3854950;-346.299;-6.113.239
3854951;-23.957;-6.075.531
3854952;-28.8;-6.031.667
3854953;-2.866.667;-60.25
3854954;-2.956.189;-6.068.616
3854955;-2.895.547;-604.611
3854956;-420.292;-7.152.095
3854957;-5.483.333;-6.833.333
3854958;-2.855.505;-6.002.263
3854959;-2.463.974;-6.576.285
3854960;-4.564.727;-6.922.503
3854961;-3.462.652;-6.766.946
3854962;-4.509.088;-6.604.531
3854963;-3.293.333;-6.886.667
3854964;-3.292.863;-688.351
3854965;-3.338.333;-6.051.667
3854966;-3.336.795;-6.050.903
3854967;-3.340.011;-6.184.377
3854968;-3.533.333;-6.583.333
3854969;-2.946.206;-602.124
3854970;-3.516.471;-6.008.007
3854971;-3.158.585;-6.006.013
3854972;-2.673.469;-6.462.498
3854973;-2.688.605;-6.522.231
3854974;-5.186.667;-7.056.667
3854975;-47.85;-6.663.333
3854976;-4.777.085;-6.850.689
3854977;-47.25;-68.6
3854978;-5.134.835;-7.029.135
3854979;-2.456.667;-6.583.333
3854980;-32.7;-6.858.333
3854981;-4.875.057;-7.024.741
3854982;-303.589;-6.631.146
3854983;-30.25;-6.583.333
3854984;-265.695;-6.455.612
3854985;-3.303.016;-6.064.045
3854986;-3.871.667;-66.4
3854987;-303.627;-6.040.162
3854988;-4.404.992;-7.059.798
3854989;-3.332.995;-6.797.859
3854990;-3.139.969;-6.075.078
3854991;-3.298.333;-68.5
3854992;-3.325.166;-6.867.989
3854993;-32.95;-68.85
3854994;-35.55;-6.136.667
3854995;-3.553.683;-6.134.332
3854996;-3.568.255;-6.200.058
3854997;-4.771.667;-7.003.333
3854998;-30.35;-69.95
3854999;-3.460.942;-6.464.925
3855000;-5.183.068;-7.169.614
3855001;-4.621.667;-7.166.667
3855002;-4.584.819;-6.779.336
3855003;-36;-6.161.667
3855004;-3.636.558;-6.236.015
3855005;-2.668.333;-6.038.333
3855006;-2.761.667;-6.216.667
3855007;-43.75;-6.943.333
3855008;-4.003.333;-6.571.667
3855009;-3.305.768;-6.099.076
3855010;-3.928.333;-6.938.333
3855011;-3.281.667;-6.773.333
3855012;-4.504.766;-6.568.263
3855013;-3.878.333;-60.9
3855014;-3.275.665;-6.433.929
3855015;-3.163.333;-6.716.667
3855016;-3.292.266;-6.688.437
3855017;-3.573.333;-64.85
3855018;-2.969.742;-670.423
3855019;-2.531.151;-6.623.448
3855020;-4.151.667;-7.156.667
3855021;-4.796.667;-7.098.333
3855022;-4.679.953;-7.059.008
3855023;-4.678.177;-7.063.256
3855024;-4.719.004;-7.174.278
3855025;-4.728.016;-7.154.022
3855026;-4.733.333;-7.158.333
3855027;-46.95;-7.178.333
3855028;-4.055.517;-7.150.171
3855029;-3.187.556;-6.112.814
3855030;-3.297.019;-6.886.731
3855031;-3.457.964;-6.205.114
3855032;-35.5;-6.051.667
3855033;-3.548.077;-6.047.862
3855034;-4.509.493;-6.814.491
3855035;-4.016.148;-7.069.366
3855036;-4.466.667;-70.3
3855037;-4.494.464;-7.009.244
3855038;-43.934;-7.162.605
3855039;-34.75;-63
3855040;-3.504.433;-6.302.613
3855041;-3.503.285;-6.301.252
3855042;-35;-61
3855043;-3.500.014;-6.103.508
3855044;-3.191.667;-6.046.667
3855045;-2.493.333;-6.131.667
3855047;-2.858.333;-62.5
3855048;-3.394.118;-6.424.503
3855049;-3.336.848;-601.424
3855050;-28.2;-6.866.667
3855051;-3.282.157;-6.992.264
3855052;-3.423.543;-6.133.053
3855053;-32.5;-6.333.333
3855054;-31.5;-6.608.333
3855055;-4.417.569;-7.057.328
3855056;-3.797.904;-6.360.449
3855057;-32.45;-67.65
3855058;-3.823.894;-6.312.129
3855059;-3.347.491;-6.028.518
3855060;-39.5;-6.268.333
3855061;-38.5;-67.5
3855062;-3.466.667;-64.25
3855063;-3.141.667;-6.666.667
3855065;-3.903.333;-6.758.333
3855066;-3.273.196;-6.191.599
3855067;-3.217.601;-6.020.079
3855068;-4.324.071;-6.859.197
3855069;-3.198.283;-6.040.861
3855070;-2.422.813;-6.399.384
3855071;-3.471.779;-6.200.155
3855072;-3.476.459;-6.189.093
3855073;-2.733.333;-61.3
3855074;-2.731.667;-6.128.333
3855075;-3.565.662;-6.375.682
3855076;-3.383.333;-6.558.333
3855077;-4.783.474;-7.176.993
3855078;-3.113.544;-6.414.059
3855079;-3.153.262;-6.005.003
3855080;-3.136.767;-6.443.529
3855081;-33;-6.871.667
3855082;-31;-66.25
3855083;-3.490.314;-6.075.461
3855084;-36.05;-6.616.667
3855085;-4.083.333;-63.35
3855086;-2.713.333;-6.118.333
3855087;-45.7;-6.746.667
3855088;-2.456.667;-6.196.667
3855089;-2.479.464;-6.494.393
3855090;-2.467.034;-6.504.765
3855091;-3.289.155;-6.072.269
3855092;-3.746.025;-6.358.537
3855093;-2.901.392;-6.782.877
3855094;-4.073.333;-6.448.333
3855095;-3.383.333;-6.183.333
3855096;-4.111.418;-7.113.782
3855097;-4.083.333;-63.65
3855098;-3.401.472;-6.392.413
3855099;-29.5;-6.833.333
3855100;-3.272.218;-6.859.137
3855101;-3.285.219;-6.975.704
3855102;-37.5;-61.25
3855103;-2.883.333;-6.866.667
3855104;-3.724.755;-6.126.273
3855105;-3.311.174;-6.056.421
3855106;-2.283.333;-63.75
3855107;-3.295.831;-6.878.349
3855108;-2.516.667;-6.141.667
3855109;-23.05;-62.2
3855110;-3.360.074;-6.059.665
3855111;-4.026.667;-6.416.667
3855112;-24.4;-6.101.667
3855113;-3.232.293;-638.695
3855114;-3.895.297;-6.792.489
3855115;-2.321.667;-62.3
3855116;-2.259.588;-6.381.255
3855117;-3.907.891;-6.715.807
3855118;-327.566;-6.378.611
3855119;-3.273.333;-6.378.333
3855120;-3.870.611;-6.239.806
3855121;-4.010.408;-6.445.592
3855122;-38.7;-6.243.333
3855123;-2.742.228;-6.147.734
3855124;-3.281.313;-6.387.243
3855125;-2.691.667;-61
3855126;-3.448.721;-6.154.021
3855127;-3.058.333;-66
3855128;-29.05;-62.2
3855129;-3.406.339;-6.009.481
3855130;-2.293.392;-6.385.961
3855131;-3.312.246;-623.063
3855132;-34.25;-61.25
3855133;-3.430.264;-6.130.522
3855134;-3.285.031;-6.871.328
3855135;-36;-6.008.333
3855136;-3.516.667;-6.733.333
3855137;-3.586.667;-6.006.667
3855138;-3.602.078;-600.145
3855139;-3.497.696;-6.769.116
3855140;-3.194.594;-6.066.903
3855141;-24.85;-6.546.667
3855142;-3.737.521;-6.468.514
3855143;-3.737.698;-6.460.431
3855144;-502.899;-7.096.162
3855146;-4.602.021;-7.094.809
3855147;-40.8;-62.6
3855148;-4.079.603;-7.045.076
3855149;-28.05;-6.198.333
3855150;-5.196.667;-7.146.667
3855151;-325.531;-6.067.314
3855152;-3.894.366;-6.363.831
3855153;-50.1;-73.05
3855154;-4.483.752;-6.572.009
3855155;-4.509.897;-659.658
3855156;-4.003.333;-6.216.667
3855157;-4.008.333;-62.05
3855158;-3.038.333;-63.7
3855159;-3.401.667;-63.85
3855160;-4.853.333;-7.198.333
3855161;-40.1;-64.3
3855162;-3.108.333;-68.8
3855163;-31.95;-6.241.667
3855164;-35.6;-6.656.667
3855165;-3.143.333;-67.9
3855166;-3.125.131;-7.037.224
3855167;-4.475.646;-7.094.273
3855168;-4.094.725;-7.130.642
3855169;-3.815.856;-7.064.786
3855170;-2.906.667;-61.85
3855171;-3.313.333;-6.673.333
3855172;-4.485.895;-7.114.234
3855173;-4.488.333;-71.2
3855174;-3.966.274;-7.072.628
3855175;-3.358.333;-6.441.667
3855176;-4.502.248;-710.052
3855177;-3.753.333;-6.896.667
3855178;-4.461.252;-656.666
3855179;-3.276.667;-6.916.667
3855180;-4.080.621;-6.532.723
3855181;-2.872.107;-6.629.495
3855182;-3.606.667;-6.943.333
3855183;-4.238.658;-6.920.464
3855184;-4.252.011;-6.933.201
3855185;-4.283.333;-6.866.667
3855186;-4.250.873;-6.938.196
3855187;-4.226.186;-6.922.112
3855188;-2.747.492;-6.504.387
3855189;-2.731.667;-6.541.667
3855190;-5.466.667;-6.861.667
3855191;-3.465.163;-6.747.722
