geoname;latitud;longitud
3427496;-2.526.141;-5.850.974
3427497;-29.05;-5.986.667
3427498;-2.593.277;-5.391.253
3427499;-332.402;-5.979.509
3427500;-3.445.505;-5.854.614
3427501;-3.614.223;-5.864.555
3427502;-2.740.862;-5.904.288
3427503;-3.669.856;-5.978.248
3427504;-3.452.353;-5.847.439
3427505;-3.452.947;-584.737
3427506;-3.496.562;-5.865.186
3427507;-2.851.465;-592.613
3427508;-3.037.956;-5.867.415
3427509;-2.816.031;-5.566.745
3427510;-3.462.749;-5.851.504
3427511;-3.538.796;-5.733.691
3427512;-3.539.834;-5.736.519
3427513;-3.046.609;-5.980.423
3427514;-3.062.633;-597.062
3427515;-32.15;-5.818.333
3427516;-3.538.333;-57.8
3427517;-3.538.352;-5.780.286
3427518;-25.4;-5.766.667
3427519;-37.15;-57.35
3427520;-2.939.853;-576.594
3427521;-2.878.446;-5.754.317
3427522;-2.879.502;-5.870.539
3427523;-2.572.162;-5.817.131
3427524;-283.514;-5.587.793
3427525;-2.850.312;-5.812.687
3427526;-2.577.915;-5.848.192
3427527;-3.611.798;-5.964.931
3427528;-3.463.144;-5.849.261
3427529;-26.7;-5.866.667
3427530;-3.598.523;-5.840.413
3427531;-373.999;-5.951.614
3427532;-2.678.646;-5.997.482
3427533;-2.744.816;-5.660.379
3427534;-3.141.196;-5.956.432
3427535;-2.741.667;-5.466.667
3427536;-3.533.333;-57.25
3427537;-2.737.679;-5.474.312
3427538;-2.802.615;-5.945.847
3427539;-27.75;-55.35
3427540;-3.238.412;-5.966.418
3427541;-3.478.078;-587.383
3427542;-2.889.341;-5.672.529
3427543;-2.801.667;-56.05
3427544;-3.206.837;-5.842.634
3427545;-28.4;-5.668.333
3427546;-294.569;-596.166
3427547;-3.647.591;-5.757.493
3427548;-2.864.211;-5.608.273
3427549;-3.503.554;-592.252
3427550;-2.960.237;-5.839.419
3427551;-2.866.911;-5.664.657
3427552;-3.463.287;-5.846.409
3427553;-34.1;-5.863.333
3427554;-2.821.388;-562.336
3427555;-292.647;-5.668.278
3427556;-27.55;-57.2
3427557;-2.573.752;-5.828.421
3427558;-281.634;-5.845.565
3427559;-2.740.365;-5.804.975
3427560;-27.1;-53.8
3427561;-3.714.604;-5.689.046
3427562;-3.635.626;-5.743.523
3427563;-2.872.713;-5.856.108
3427564;-2.806.276;-563.281
3427565;-3.429.967;-5.944.424
3427566;-2.896.301;-5.684.675
3427567;-2.889.456;-5.630.338
3427568;-247.515;-5.898.311
3427569;-2.961.624;-5.809.705
3427570;-2.960.358;-5.793.832
3427571;-2.966.324;-5.794.874
3427572;-3.633.892;-5.693.242
3427573;-2.592.338;-5.428.121
3427574;-2.589.849;-5.461.367
3427575;-2.819.465;-5.570.935
3427576;-3.244.344;-5.858.278
3427577;-2.613.333;-5.391.667
3427578;-3.733.333;-57.5
3427579;-3.237.972;-581.917
3427580;-3.439.688;-5.852.169
3427581;-3.512.389;-588.921
3427582;-3.268.573;-5.889.323
3427583;-2.808.073;-5.710.684
3427584;-3.571.667;-5.828.333
3427585;-3.487.021;-5.854.355
3427586;-2.556.667;-54.2
3427587;-2.804.976;-5.581.095
3427588;-3.693.057;-5.899.789
3427589;-286.584;-5.748.956
3427590;-3.656.193;-5.853.642
3427591;-3.093.333;-5.803.333
3427592;-3.021.269;-5.981.838
3427593;-3.179.358;-583.135
3427594;-2.803.333;-58.65
3427595;-2.509.416;-5.833.828
3427596;-2.733.333;-57.8
3427597;-2.738.333;-57.75
3427598;-3.451.989;-5.967.347
3427599;-3.006.667;-5.778.333
3427600;-3.543.678;-592.361
3427601;-3.816.084;-5.785.907
3427602;-3.479.045;-5.840.277
3427603;-3.853.997;-5.892.888
3427604;-2.597.901;-5.460.856
3427605;-2.920.964;-5.762.065
3427606;-2.919.896;-576.114
3427607;-287.499;-5.734.539
3427608;-2.955.604;-5.695.903
3427609;-2.797.815;-560.135
3427610;-3.006.667;-5.913.333
3427611;-29.6;-58.45
3427612;-2.883.816;-5.913.663
3427613;-287.829;-5.732.201
3427614;-3.186.946;-5.961.249
3427615;-3.068.333;-58.8
3427616;-3.042.682;-5.807.296
3427617;-2.811.302;-55.606
3427618;-27.95;-58.95
3427619;-2.986.213;-5.974.818
3427620;-2.669.549;-5.932.494
3427621;-2.670.275;-5.933.087
3427622;-2.670.304;-5.932.859
3427623;-287.365;-5.863.341
3427624;-3.459.212;-5.855.677
3427625;-2.862.925;-5.613.545
3427626;-3.489.089;-5.856.819
3427627;-2.866.667;-5.783.333
3427628;-2.857.002;-5.625.696
3427629;-2.904.297;-5.678.401
3427630;-2.852.167;-5.630.748
3427631;-247.772;-5.951.149
3427632;-34.2;-5.911.667
3427633;-2.616.014;-5.885.616
3427634;-263.549;-5.842.388
3427635;-36.9;-57.7
3427636;-2.673.847;-5.997.335
3427637;-3.774.369;-580.895
3427638;-2.647.211;-5.851.788
3427639;-2.592.884;-5.867.672
3427640;-2.941.881;-5.841.125
3427641;-2.632.374;-5.820.142
3427642;-3.741.744;-5.815.149
3427643;-35.35;-5.791.667
3427644;-2.422.449;-5.990.592
3427645;-2.525.129;-5.845.172
3427646;-25.25;-58.4
3427647;-2.618.435;-5.835.903
3427648;-2.983.333;-57.75
3427649;-3.077.498;-585.511
3427650;-2.801.667;-5.866.667
3427651;-2.573.487;-5.798.026
3427652;-3.224.854;-5.994.706
3427653;-2.513.584;-5.903.056
3427654;-2.675.917;-5.494.279
3427655;-3.459.987;-5.856.606
3427656;-31.35;-5.966.667
3427657;-3.456.667;-5.841.667
3427658;-3.222.285;-5.851.636
3427659;-2.800.641;-5.560.471
3427660;-3.581.667;-5.951.667
3427661;-2.907.914;-5.660.699
3427662;-3.273.989;-5.976.644
3427663;-3.002.251;-5.829.219
3427664;-2.941.861;-582.336
3427665;-2.748.333;-5.468.333
3427666;-2.650.897;-5.937.232
3427667;-2.779.149;-569.705
3427668;-2.580.036;-5.997.812
3427669;-2.684.301;-5.892.837
3427670;-2.562.415;-5.928.823
3427671;-3.705.288;-5.902.869
3427672;-2.816.337;-5.791.908
3427673;-373.635;-5.848.282
3427674;-3.092.244;-5.816.024
3427675;-254.143;-5.810.951
3427676;-250.981;-582.295
3427677;-25.1;-5.818.333
3427678;-2.794.831;-5.740.032
3427679;-2.746.839;-5.889.626
3427680;-2.852.091;-5.910.838
3427681;-3.531.739;-5.875.208
3427682;-3.025.018;-5.924.354
3427683;-3.543.333;-58.8
3427684;-2.639.039;-5.957.117
3427685;-3.831.588;-5.791.298
3427686;-2.853.169;-5.855.698
3427687;-3.447.513;-5.875.367
3427688;-3.049.447;-5.809.198
3427689;-3.443.094;-5.912.803
3427690;-2.882.708;-5.646.976
3427691;-2.883.333;-5.646.667
3427692;-3.741.667;-57.8
3427693;-2.764.068;-5.584.588
3427694;-2.880.174;-5.814.608
3427695;-2.884.181;-5.810.291
3427696;-2.856.561;-590.762
3427697;-2.537.178;-5.804.479
3427698;-2.910.245;-5.717.558
3427699;-3.328.333;-5.901.667
3427700;-3.574.219;-5.740.013
3427701;-3.449.475;-588.448
3427702;-352.385;-5.908.827
3427703;-2.748.859;-5.819.286
3427704;-2.914.109;-5.719.421
3427705;-2.766.667;-5.513.333
3427706;-2.661.291;-5.373.497
3427707;-35.35;-57.25
3427708;-2.854.705;-5.928.133
3427709;-36.5;-57.25
3427710;-3.640.857;-5.755.835
3427711;-36.4;-57.55
3427712;-3.470.008;-5.931.839
3427713;-3.766.667;-5.788.333
3427714;-3.488.497;-579.667
3427715;-29.05;-5.693.333
3427716;-272.906;-5.849.078
3427717;-3.058.304;-5.802.996
3427718;-3.573.936;-59.383
3427719;-3.572.595;-5.933.914
3427720;-3.082.004;-59.786
3427721;-247.969;-5.872.594
3427722;-2.683.527;-591.558
3427723;-3.539.948;-5.744.761
3427724;-2.647.085;-5.389.136
3427725;-273.601;-591.256
3427726;-353.198;-5.748.932
3427727;-3.702.443;-5.695.163
3427728;-3.762.279;-5.952.921
3427729;-2.760.508;-5.627.196
3427730;-2.875.414;-5.662.248
3427731;-3.041.715;-5.776.964
3427732;-3.023.863;-5.790.443
3427733;-3.041.272;-5.776.791
3427734;-2.605.765;-5.795.382
3427735;-2.752.225;-577.317
3427736;-2.889.655;-5.822.556
3427737;-2.826.857;-5.586.312
3427738;-2.788.333;-5.906.667
3427739;-276.018;-560.714
3427740;-2.494.199;-5.848.114
3427741;-2.695.564;-5.888.352
3427742;-2.778.333;-58.95
3427743;-2.689.463;-584.978
3427744;-2.674.006;-5.971.533
3427745;-2.813.598;-5.642.245
3427746;-2.751.667;-5.653.333
3427747;-2.886.795;-5.639.547
3427748;-279.949;-5.595.636
3427749;-2.748.893;-5.736.586
3427750;-2.746.667;-5.736.667
3427751;-3.737.554;-5.914.202
3427752;-3.441.587;-5.857.934
3427753;-3.442.058;-5.858.279
3427754;-3.473.601;-5.991.186
3427755;-2.798.089;-5.667.988
3427756;-2.655.956;-5.931.302
3427757;-2.733.333;-54.45
3427758;-33.45;-5.961.667
3427759;-2.991.789;-5.876.325
3427760;-2.706.667;-55.15
3427761;-3.442.603;-5.857.962
3427762;-3.779.162;-5.914.272
3427763;-3.834.776;-5.798.851
3427764;-3.322.501;-5.991.406
3427765;-25.7;-59.85
3427766;-2.556.667;-5.998.333
3427767;-3.411.667;-5.873.333
3427768;-3.541.667;-5.776.667
3427769;-3.533.333;-5.766.667
3427770;-2.653.333;-54.75
3427771;-3.671.667;-5.703.333
3427772;-3.101.196;-5.856.016
3427773;-3.456.448;-5.868.261
3427774;-25.35;-58.3
3427775;-345.671;-5.865.371
3427776;-3.477.988;-5.840.312
3427777;-3.427.338;-5.851.779
3427778;-301.443;-5.995.115
3427779;-3.468.333;-5.846.667
3427780;-2.534.411;-5.775.746
3427781;-3.034.281;-595.136
3427782;-2.874.619;-5.790.871
3427783;-3.736.617;-5.976.283
3427784;-2.769.357;-5.606.849
3427785;-2.863.734;-5.662.925
3427786;-2.547.508;-5.767.957
3427787;-2.787.838;-5.648.369
3427788;-2.787.529;-5.648.407
3427789;-27.95;-5.648.333
3427790;-3.048.774;-5.806.316
3427791;-253.705;-5.895.174
3427792;-3.429.468;-5.993.836
3427793;-2.941.667;-5.698.333
3427794;-3.436.478;-599.415
3427795;-29.05;-5.748.333
3427796;-2.861.667;-5.881.667
3427797;-2.825.835;-5.611.027
3427798;-2.807.083;-5.614.585
3427799;-2.495.807;-5.994.427
3427800;-2.808.333;-5.861.667
3427801;-2.760.013;-5.624.945
3427802;-2.721.667;-5.868.333
3427803;-2.836.708;-5.847.132
